GAME_DATE_EST,HOME_TEAM_ID,VISITOR_TEAM_ID,SEASON,PTS_home,PTS_away,HOME_TEAM_WINS,date_numeric,pts_home_z,pts_away_z,date_z
2022-12-22,1610612740,1610612759,2022,126.0,117.0,1,738511,1.6979925984026987,1.218814861828989,1.7561114350740643
2022-12-22,1610612762,1610612764,2022,120.0,112.0,1,738511,1.2462154412549067,0.8465658356699187,1.7561114350740643
2022-12-21,1610612739,1610612749,2022,114.0,106.0,1,738510,0.7944382841071149,0.39986700427903443,1.755619417520221
2022-12-21,1610612755,1610612765,2022,113.0,93.0,1,738510,0.7191420912491496,-0.5679804637345482,1.755619417520221
2022-12-21,1610612737,1610612741,2022,108.0,110.0,0,738510,0.3426611269593231,0.6976662252062906,1.755619417520221
2022-12-21,1610612738,1610612754,2022,112.0,117.0,0,738510,0.6438458983911843,1.218814861828989,1.755619417520221
2022-12-21,1610612751,1610612744,2022,143.0,113.0,1,738510,2.978027876988109,0.9210156409017328,1.755619417520221
2022-12-21,1610612752,1610612761,2022,106.0,113.0,0,738510,0.19206874124339246,0.9210156409017328,1.755619417520221
2022-12-21,1610612745,1610612753,2022,110.0,116.0,0,738510,0.4932535126752537,1.144365056597175,1.755619417520221
2022-12-21,1610612750,1610612742,2022,99.0,104.0,0,738510,-0.33500460876236465,0.25096739381540634,1.755619417520221
2022-12-21,1610612760,1610612757,2022,101.0,98.0,1,738510,-0.18441222304643407,-0.19573143757547795,1.755619417520221
2022-12-21,1610612758,1610612747,2022,134.0,120.0,1,738510,2.300362141266421,1.4421642775244312,1.755619417520221
2022-12-21,1610612746,1610612766,2022,126.0,105.0,1,738510,1.6979925984026987,0.3254171990472204,1.755619417520221
2022-12-20,1610612765,1610612762,2022,111.0,126.0,0,738509,0.568549705533219,1.8888631089153154,1.7551273999663781
2022-12-20,1610612748,1610612741,2022,103.0,113.0,0,738509,-0.03381983733050344,0.9210156409017328,1.7551273999663781
2022-12-20,1610612752,1610612744,2022,132.0,94.0,1,738509,2.14976975555049,-0.49353065850273414,1.7551273999663781
2022-12-20,1610612756,1610612764,2022,110.0,113.0,0,738509,0.4932535126752537,0.9210156409017328,1.7551273999663781
